ja	en	zh-tw	zh-cn
枚	unidade(s)	張	张
編成解散	Disband Team	解散編組	队伍解散
武器タイプ	Tipo de Arma	武器類型	武器类型
武器	Weapon	武器	武器
表示：	Display:	顯示：	显示：
属性	Atributo	屬性	属性
神器レベル	Sacred Artifact Level	神器等級	神器等级
神器Lv	Lv de Artefato	神器等級	神器等级
召喚の思い出	Summoning Memories	召喚的回憶	召唤的回忆
所属カード	Cartas de Membro	隸屬卡片	隶属卡片
実行したい項目を選択してください	Por favor, selecione o item a ser usado.	請選擇欲執行的項目	请选择要执行的项目
現在のチームを解散させました。	Team has been disbanded.	已解散現在的隊伍。	当前队伍已解散。
レア度	Raridade	稀有度	稀有度
ボイス再生	Play Voice	播放語音	播放语音
ボイス	Voice	語音	语音
スキン変更	Mudar Imagem	變更服裝	更换皮肤
シナリオ	Cenário	劇情	剧情
キャラ変更	Mudar Personagem	變更角色	更换角色
カードを選択してください	Por favor, selecione uma carta.	請選擇卡片	请选择卡片
カードフィルタ	Filtro	卡片篩選	卡片筛选
イラスト	Illustration	插畫	插画
S.LV	S. LV	技能等級	技能等级
LV	LV	等級	等级
ID	ID	ID	ID
必要個数：	Needed: 	所需數量：	需要数量：
神器Lv強化により、チャージスキルの威力および効果が上昇します	Upgrading your Sacred Artifact Level will improve the strength and effects of your Charge Skill.	透過強化神器等級，能提升必殺技的威力與效果	升级神器，可提升必杀技的威力及效果
召喚札でガチャを1回引きます。	Use a Summoning Token to Summon once.	使用召喚券進行1次轉蛋。	用召唤券抽取1次扭蛋。
所持個数：	Possuí: 	持有數：	持有个数：
左右フリックまたは矢印タップで移動	"Flick left or right, or tap arrow to move."	可左右滑動或是點擊箭頭移動	通过左右滑动或点击箭头移动
レアガチャを１回引きます。	Summon once from the Limited Summon.	進行1次稀有召喚轉蛋。	抽取１次稀有扭蛋。
ERROR\n「サロモンくんチケット」が不足しています。	ERROR\nNot enough Lil'\nSalomon Tickets.	ERROR\n「沙羅門券」不足。	出现错误\n“沙罗门票券”不足。
最大Lv	Max Level	最大等級	最高等级
限界突破	Refinamento	突破界限	突破界限
強化に失敗しました。\n成功率が0％です。	Upgrade failed.\n0% success rate.	強化失敗。\n成功率為0%。	强化失败。\n成功率为0%。
以下の要素が解放されました！	The following have been unlocked!	解放了以下要素！	下列要素已解锁！
スキル	Skill	技能	技能
カードスキルLv強化に使用する\nアイテムを選択して下さい	Please select item to be used\nfor Skill Up.	請選擇使用於\n強化卡片技能等級的道具	请选择用于卡片技能升级的道具
選択中	Selecionado	選擇中	选择中
強化に失敗しました。\nレベルはこれ以上上がりません。	Upgrade failed.\nYou cannot level up any further.	強化失敗。\n無法再提升等級。	强化失败。\n无法继续升级。
カードLv強化に使用するアイテムを選択<br>種強化の上限値は1000<size=18>（端数切捨て）</size>です	Please select item to be used for Level Up.	請選擇使用於強化卡片等級的道具<br>種子強化的上限為1000<size=18>（小數點以下捨去）</size>	请选择用于卡片升级的道具
受信するメッセージを確認して下さい	Por favor, confirme a mensagem a ser enviada.	請確認收到的訊息	请确认收到的消息
模様替え	Remodel	更換布景	更改背景
壁	Wall	牆壁	墙
配置確認	Confirm position	確認配置	确认配置
背景変更	Change Background	變更背景	更换背景
天井	Ceiling	天花板	天花板
全解除	Remove all	全部取消	全部解除
床	Floor	地板	地面
主様、呼びました？	"Master, you called?"	主人，您叫我嗎？	主人，您叫我了吗？
次のギルドランク	Next Guild Rank	下一個公會階級	下一个公会排名
今日はどうされますかぁ？	What will you do today?	今天要做什麼呢？	今天准备如何安排呢？
現在のギルドランク	Current Guild Rank	目前公會階級	当前的公会排名
移動	Move	移動	移动
スキン	Image	服裝	皮肤
じゃんじゃじゃ～ん！	Tadah!	鏘鏘鏘～！	锵锵锵！
サロモンくん	Salomonzinho	沙羅門	沙罗门
ささっ、ゲームの報酬ですよぉ！	Nicely done! Come get your reward!	來來，這可是遊戲的報酬喔！	快收好，这是游戏的奖励哦！
キャラクター変更	Change Character	變更角色	更换角色
キャラクター１	Character 1	角色１	角色１
カメラフレーム	Camera Frame	相機外框	相机框架
おめでとうございますー！	Congratulations!	恭喜～！	恭喜！
おかえりなさいませ！	Welcome back!	歡迎回來！	欢迎回来！
あなたのかわいい使い魔、サロモンくんで～す！	"Your adorable familiar, Lil' Salomon, is here!"	我是您可愛的使魔沙羅門～！	我是你的可爱使魔沙罗门哦！
アイテム変更	Exchange Items	變更道具	更换道具
友達のプレイヤーIDを入れて検索できます	Digite o ID de Jogador do seu amigo para buscar.	可輸入朋友的玩家ID搜尋	可输入好友的玩家ID进行搜索
日以上前	 days ago	天以前	天以前
戦友数	Contagem de Amigos	戰友人數	战友人数
戦友承認に失敗しました	Friend request was denied.	加入戰友失敗	战友认证失败
戦友検索	Buscar por Amigos	戰友搜尋	战友搜索
戦友依頼	Pedido de Amizade	戰友委託	战友委托
戦友リスト	Lista de Amig.	戰友清單	战友列表
承認	Approve	同意	同意
時間前	 hora(s) atrás	小時前	小时前
検索	Buscar	搜尋	搜索
拒否	Reject	拒絕	拒绝
解除	Remove	解除	解除
ここをタッチして入力してください	Toque aqui para inserir.	請點擊此處輸入	请点击此处输入
あなたのプレイヤーID	Seu ID de Jogador	您的玩家ID	您的玩家ID
バトルでは、自陣内のユニットを	Ataque em batalha movendo-se para um quadrado em	對戰中，將我方陣地內的單位	对战中，将我方阵营内的角色
更新データ一覧の取得中です	Currently loading update data.	正在取得更新資料一覽	正在获取更新数据一览
起動準備中です	Carregando	準備啟動中	启动准备中
完了	Completo	結束	结束
マスターデータの更新に失敗しました。	Failed to update master data.	主資料更新失敗。	主数据更新失败。
サーバと通信中です	Connecting with server.	與伺服器連線中	与服务器通信中
サーバからのデータをロード完了しました。	Data loaded from server.	已讀取伺服器資料。	已成功从服务器加载数据。
アプリケーションを終了します。	Closing application.	結束APP。	退出APP。
『東京放課後サモナーズ』最新データを確認しています	Checking for updates.	正在確認《東京放學後召喚師》的最新資料	正在确认“东京放学后召唤师”的最新数据
