ja	en	zh-tw	zh-cn
 エピローグ	Epilogue	 終章	 尾声
 おくりびと	Departures	 目送者	 送行者
 クロードの結婚	Claude's Marriage	 克勞德的婚事	 克劳德的婚事
 それが生徒の為ならば1	For my Students (1)	 只要是為了學生1	 一切为了学生1
 プロローグ(後)	Prologue (2)	 序章（後）	 序曲（后）
 王様とわたし	The King and I	 國王與我	 国王与我
 海の家繁盛期	Life at the Beach House	 海之家繁盛記	 海之家兴旺记
 渚にまつわるエトセトラ(前)	Much Ado About the Beach (1)	 圍繞著海邊的種種（前）	 海边二三事（前）
 少年老い易く学成り難し	" Art is Long, Life is Short"	 少年易老學難成	 少年易老学难成
 熱闘、ビーチバレー！2	Hot-blooded Beach Volleyball! (2)	 激戰！沙灘排球！2	 沙滩排球激战！2
！？	?!	！？	！？
＃BFF	#BFF	＃BFF	＃BFF
＃東京	#Tokyo	＃東京	#东京
（悲鳴）	(Scream)	（慘叫）	（惨叫）
？？？	???	？？？	？？？
？？？？	???	？？？？	？？？？
？？？？？	???	？？？？？	？？？？？
？？？？？？	???	？？？？？？	？？？？？？
？？？？？？？	???	？？？？？？？	？？？？？？？
？？？？？？？？	???	？？？？？？？？	？？？？？？？？
？？？？と大江山温泉	Mt. Oe Hot Spring with ???	？？？？與大江山溫泉	？？？？与大江山温泉
？？？と鞍馬山温泉	Mt. Kurama Hot Spring with ???	？？？與鞍馬山溫泉	？？？与鞍马山温泉
？？？と異海の港街	Port City at Night with ???	？？？與異海的港街	？？？与异海的港口小镇
？？？と夏の花火	Summer Fireworks with ???	？？？與夏日的煙火	？？？与夏日烟花
？？？と大江山温泉	Mt. Oe Hot Spring with ???	？？？與大江山溫泉	？？？与大江山温泉
？？？と猪鼻嶽温泉	Inohana Dake Hot Spring with ???	？？？與豬鼻嶽溫泉	？？？与猪鼻岳温泉
？？？と魔王の温泉郷	Dark Lord's Hot Spring Village with ???	？？？與魔王的溫泉鄉	？？？与魔王的温泉乡
？？？にプレゼント	Present for ???	送禮給？？？	为？？？送上礼物
[Replay]ＧｏＧｏ！ 秘島探険隊1(後)	[Replay] Raiders of the Lost Isle (1) - Part 2	[重播]GoGo！神秘島探險隊１（後）	[重播]GoGo！秘岛探险队1（下）
[Replay]ＧｏＧｏ！ 秘島探険隊1(前)	[Replay] Raiders of the Lost Isle (1) - Part 1	[重播]GoGo！神秘島探險隊１（前）	[重播]GoGo！秘岛探险队1（上）
[Replay]ＧｏＧｏ！ 秘島探険隊2(後)	[Replay] Raiders of the Lost Isle (2) - Part 2	[重播]GoGo！神秘島探險隊２（後）	[重播]GoGo！秘岛探险队2（下）
[Replay]ＧｏＧｏ！ 秘島探険隊2(前)	[Replay] Raiders of the Lost Isle (2) - Part 1	[重播]GoGo！神秘島探險隊２（前）	[重播]GoGo！秘岛探险队2（上）
[Replay]ＧｏＧｏ！ 秘島探険隊3(後)	[Replay] Raiders of the Lost Isle (3) - Part 2	[重播]GoGo！神秘島探險隊３（後）	[重播]GoGo！秘岛探险队3（下）
[Replay]ＧｏＧｏ！ 秘島探険隊3(前)	[Replay] Raiders of the Lost Isle (3) - Part 1	[重播]GoGo！神秘島探險隊３（前）	[重播]GoGo！秘岛探险队3（上）
